example_id                                                   | status  | run_time              |
./spec/requests/relationship_spec.rb[1:2:3]                  | passed  | 0.03027 seconds       |
./spec/requests/relationship_spec.rb[1:2:4]                  | passed  | 0.03126 seconds       |
./spec/requests/sessions_spec.rb[1:1:1]                      | passed  | 0.01217 seconds       |
./spec/requests/static_pages_spec.rb[1:1:1]                  | passed  | 0.01314 seconds       |
./spec/requests/static_pages_spec.rb[1:2:1]                  | passed  | 0.013 seconds         |
./spec/requests/static_pages_spec.rb[1:3:1]                  | passed  | 0.01322 seconds       |
./spec/requests/users_destroy_spec.rb[1:1:1]                 | passed  | 0.0481 seconds        |
./spec/requests/users_destroy_spec.rb[1:2:1]                 | passed  | 0.03459 seconds       |
./spec/requests/users_destroy_spec.rb[1:2:2]                 | passed  | 0.03345 seconds       |
./spec/requests/users_destroy_spec.rb[1:3:1]                 | passed  | 0.02433 seconds       |
./spec/requests/users_destroy_spec.rb[1:4:1]                 | passed  | 0.03585 seconds       |
./spec/requests/users_edit_spec.rb[1:1:1]                    | passed  | 0.04497 seconds       |
./spec/requests/users_edit_spec.rb[1:2:1]                    | passed  | 0.02336 seconds       |
./spec/requests/users_edit_spec.rb[1:3:1]                    | passed  | 0.03219 seconds       |
./spec/requests/users_index_spec.rb[1:1:1]                   | passed  | 0.033 seconds         |
./spec/requests/users_index_spec.rb[1:2:1]                   | passed  | 0.01839 seconds       |
./spec/requests/users_index_spec.rb[1:3]                     | passed  | 0.03 seconds          |
./spec/requests/users_login_spec.rb[1:1]                     | passed  | 0.01797 seconds       |
./spec/requests/users_login_spec.rb[1:2]                     | passed  | 0.06342 seconds       |
./spec/requests/users_login_spec.rb[1:3]                     | passed  | 0.02912 seconds       |
./spec/requests/users_login_spec.rb[2:1:1]                   | passed  | 0.01725 seconds       |
./spec/requests/users_login_spec.rb[2:1:2]                   | passed  | 0.01796 seconds       |
./spec/requests/users_login_spec.rb[2:2:1]                   | passed  | 0.02714 seconds       |
./spec/requests/users_show_spec.rb[1:1]                      | passed  | 0.0298 seconds        |
./spec/requests/users_signup_spec.rb[1:1]                    | passed  | 0.01267 seconds       |
./spec/requests/users_signup_spec.rb[1:2]                    | passed  | 0.04758 seconds       |
./spec/requests/users_signup_spec.rb[1:3]                    | passed  | 0.02846 seconds       |
./spec/requests/users_spec.rb[1:1:1]                         | passed  | 0.01209 seconds       |
./spec/requests/users_spec.rb[1:1:2]                         | passed  | 0.01242 seconds       |
./spec/requests/users_spec.rb[1:2:1:1]                       | passed  | 0.01681 seconds       |
./spec/requests/users_spec.rb[1:2:1:2]                       | passed  | 0.01605 seconds       |
./spec/requests/users_spec.rb[1:2:1:3]                       | passed  | 0.01628 seconds       |
./spec/requests/users_spec.rb[1:2:1:4]                       | passed  | 0.01603 seconds       |
./spec/requests/users_spec.rb[1:2:2]                         | passed  | 0.01925 seconds       |
./spec/requests/users_spec.rb[1:3:1:1]                       | passed  | 0.01867 seconds       |
./spec/requests/users_spec.rb[1:3:2]                         | passed  | 0.03041 seconds       |
./spec/static_pages_request_spec.rb[1:1:1:1]                 | passed  | 0.01324 seconds       |
./spec/static_pages_request_spec.rb[1:1:1:2]                 | passed  | 0.01297 seconds       |
./spec/system/microposts_spec.rb[1:1:1:1]                    | failed  | 0.06256 seconds       |
./spec/system/microposts_spec.rb[1:1:2:1]                    | passed  | 0.09425 seconds       |
./spec/system/microposts_spec.rb[1:1:2:2]                    | passed  | 0.07862 seconds       |
./spec/system/microposts_spec.rb[1:2:1:1]                    | passed  | 0.06637 seconds       |
./spec/system/microposts_spec.rb[1:2:2:1]                    | passed  | 1.04 seconds          |
./spec/system/relationship_spec.rb[1:1:1:1]                  | passed  | 0.0802 seconds        |
./spec/system/relationship_spec.rb[1:1:1:2]                  | passed  | 0.08173 seconds       |
./spec/system/relationship_spec.rb[1:1:1:3]                  | passed  | 0.08081 seconds       |
./spec/system/relationship_spec.rb[1:2:1:1]                  | passed  | 0.08237 seconds       |
./spec/system/relationship_spec.rb[1:2:1:2]                  | passed  | 0.0856 seconds        |
./spec/system/relationship_spec.rb[1:2:1:3]                  | passed  | 0.08195 seconds       |
./spec/system/relationship_spec.rb[1:3:1]                    | passed  | 0.06923 seconds       |
./spec/system/relationship_spec.rb[1:3:2]                    | passed  | 0.06659 seconds       |
./spec/system/relationship_spec.rb[1:3:3]                    | passed  | 0.0688 seconds        |
./spec/system/sessions_spec.rb[1:1:1:1]                      | passed  | 0.01899 seconds       |
./spec/system/sessions_spec.rb[1:1:1:2]                      | passed  | 1 minute 4.05 seconds |
./spec/system/sessions_spec.rb[1:1:1:3]                      | passed  | 0.02199 seconds       |
./spec/system/sessions_spec.rb[1:1:1:4]                      | passed  | 0.02025 seconds       |
./spec/system/sessions_spec.rb[1:1:2:1]                      | passed  | 0.03618 seconds       |
./spec/system/sessions_spec.rb[1:1:2:2]                      | passed  | 0.03243 seconds       |
./spec/system/users_spec.rb[1:1:1:1]                         | passed  | 0.29185 seconds       |
./spec/system/users_spec.rb[1:1:2:1]                         | passed  | 0.28561 seconds       |
./spec/system/users_spec.rb[1:1:3:1]                         | passed  | 0.06097 seconds       |
./spec/system/users_spec.rb[1:1:3:2]                         | passed  | 0.13768 seconds       |
./spec/system/users_spec.rb[1:1:3:3]                         | passed  | 0.12066 seconds       |
./spec/system/users_spec.rb[1:1:3:4]                         | passed  | 0.12456 seconds       |
./spec/system/users_spec.rb[1:2:1:1]                         | passed  | 0.0319 seconds        |
./spec/system/users_spec.rb[1:2:1:2]                         | passed  | 0.02897 seconds       |
./spec/system/users_spec.rb[1:2:2:1]                         | passed  | 0.05764 seconds       |
./spec/system/users_spec.rb[1:2:2:2]                         | passed  | 0.04937 seconds       |
./spec/system/users_spec.rb[1:3:1:1]                         | passed  | 0.08541 seconds       |
./spec/system/users_spec.rb[1:3:2]                           | passed  | 0.12533 seconds       |
./spec/system/users_spec.rb[1:3:3]                           | passed  | 0.11275 seconds       |
./spec/system/users_spec.rb[1:3:4:1]                         | failed  | 4.59 seconds          |
./spec/system/users_spec.rb[1:4:1:1]                         | passed  | 0.1465 seconds        |
./spec/system/users_spec.rb[1:4:1:2]                         | passed  | 0.14173 seconds       |
./spec/system/users_spec.rb[1:4:1:3]                         | passed  | 0.17209 seconds       |
./spec/system/users_spec.rb[1:4:1:4]                         | passed  | 0.14302 seconds       |
./spec/system/users_spec.rb[1:4:1:5]                         | passed  | 0.20306 seconds       |
./spec/system/users_spec.rb[1:4:2:1]                         | passed  | 6.7 seconds           |
